SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-25-2022,Single Family Residential,1637 Oregon St,Berkeley,CA,94703,1285000,2,2.0,Berkeley,960,5400,1915,,1339,,Sold,,,https://www.redfin.com/CA/Berkeley/1637-Oregon-St-94703/home/659421,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41003441,N,Y,37.8566672,-122.275823
PAST SALE,July-29-2022,Single Family Residential,1236 Russell St,Berkeley,CA,94702,1000100,2,1.0,Berkeley,958,2920,1945,,1044,,Sold,,,https://www.redfin.com/CA/Berkeley/1236-Russell-St-94702/home/656809,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40991417,N,Y,37.8537281,-122.2853038
PAST SALE,August-9-2022,Condo/Co-op,1711 Ashby Ave,Berkeley,CA,94703,685000,1,1.5,Berkeley,600,,1940,,1142,139,Sold,,,https://www.redfin.com/CA/Berkeley/1711-Ashby-Ave-94703/home/175928124,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41000324,N,Y,37.8540391,-122.2739585
PAST SALE,September-1-2022,Single Family Residential,2773 Acton St,Berkeley,CA,94702,1090000,3,1.0,Berkeley,1242,4000,1918,,878,,Sold,,,https://www.redfin.com/CA/Berkeley/2773-Acton-St-94702/home/1198931,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41001324,N,Y,37.855987,-122.2819369
PAST SALE,,Townhouse,384 Anchor Way,Alameda,CA,94501,700000,3,2.0,,1321,1834,1972,,530,,,,,https://www.redfin.com/CA/Alameda/384-Anchor-Way-94501/home/839303,,,N,Y,37.7507882,-122.2380965
PAST SALE,June-15-2022,Single Family Residential,985 High St,Alameda,CA,94501,1118000,3,1.0,East End,1029,4000,1949,,1086,,Sold,,,https://www.redfin.com/CA/Alameda/985-High-St-94501/home/1310224,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40990955,N,Y,37.7528065,-122.2384232
PAST SALE,June-17-2022,Single Family Residential,3306 Washington Ct,Alameda,CA,94501,2700000,5,3.0,East End,2536,5100,1984,,1065,83,Sold,,,https://www.redfin.com/CA/Alameda/3306-Washington-Ct-94501/home/1673563,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40989679,N,Y,37.7512748,-122.2335478
PAST SALE,June-30-2022,Single Family Residential,3292 Adams St,Alameda,CA,94501,1500000,3,2.0,Fernside,1560,4400,1959,,962,,Sold,,,https://www.redfin.com/CA/Alameda/3292-Adams-St-94501/home/1745965,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40994656,N,Y,37.7523762,-122.2332376
PAST SALE,June-30-2022,Single Family Residential,1361 Court St,Alameda,CA,94501,1990000,3,2.5,East End,2169,6028,1980,,917,120,Sold,,,https://www.redfin.com/CA/Alameda/1361-Court-St-94501/home/1702761,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40994360,N,Y,37.7590783,-122.2340908
PAST SALE,June-20-2022,Single Family Residential,23306 Stonewall Ave,,CA,94541,975000,3,2.0,,1502,5187,1956,,649,,Sold,,,https://www.redfin.com/CA/Hayward/23306-Stonewall-Ave-94541/home/982236,GEMLS,202205397,N,Y,37.6567568,-122.1086189
